table_name,table_source,criterion,group,spell_name,spell_source
Spells [Name],GWF,Name,All,"""Coward!""",GWF
Spells [Name],GWF,Name,All,"""None Shall Pass!""",GWF
Spells [Name],GWF,Name,All,"""On Your Knees!""",GWF
Spells [Name],GWF,Name,All,"""Retreat!""",GWF
Spells [Name],GWF,Name,All,"""Save Yourselves!""",GWF
Spells [Name],GWF,Name,All,"""You Will Die!""",GWF
Spells [Name],GWF,Name,All,Accumulated Pain,GWF
Spells [Name],GWF,Name,All,Air of Enchantment,GWF
Spells [Name],GWF,Name,All,Ancestors' Rage,GWF
Spells [Name],GWF,Name,All,Anguished Was Lingwah,GWF
Spells [Name],GWF,Name,All,Animate Flesh Golem,GWF
Spells [Name],GWF,Name,All,Animate Vampiric Horror,GWF
Spells [Name],GWF,Name,All,Arc Lightning,GWF
Spells [Name],GWF,Name,All,Arcane Languor,GWF
Spells [Name],GWF,Name,All,Arcane Thievery/Arcane Larceny,GWF
Spells [Name],GWF,Name,All,Archer's Signet,GWF
Spells [Name],GWF,Name,All,Armor of Unfeeling,GWF
Spells [Name],GWF,Name,All,Ash Blast,GWF
Spells [Name],GWF,Name,All,Assassin's Promise,GWF
Spells [Name],GWF,Name,All,Attuned Was Songkai,GWF
Spells [Name],GWF,Name,All,Aura of Displacement,GWF
Spells [Name],GWF,Name,All,Aura of Holy Might,GWF
Spells [Name],GWF,Name,All,Auspicious Blow,GWF
Spells [Name],GWF,Name,All,Auspicious Incantation,GWF
Spells [Name],GWF,Name,All,Auspicious Parry,GWF
Spells [Name],GWF,Name,All,Bed of Coals,GWF
Spells [Name],GWF,Name,All,Beguiling Haze,GWF
Spells [Name],GWF,Name,All,Bestial Mauling,GWF
Spells [Name],GWF,Name,All,Bestial Pounce/Savage Pounce,GWF
Spells [Name],GWF,Name,All,Binding Chains,GWF
Spells [Name],GWF,Name,All,Bitter Chill,GWF
Spells [Name],GWF,Name,All,Black Lotus Strike,GWF
Spells [Name],GWF,Name,All,Black Mantis Thrust,GWF
Spells [Name],GWF,Name,All,Blades of Steel,GWF
Spells [Name],GWF,Name,All,Blessed Light,GWF
Spells [Name],GWF,Name,All,Blind Was Mingson,GWF
Spells [Name],GWF,Name,All,Blinding Powder,GWF
Spells [Name],GWF,Name,All,Blood Bond,GWF
Spells [Name],GWF,Name,All,Blood Drinker,GWF
Spells [Name],GWF,Name,All,Bloodsong,GWF
Spells [Name],GWF,Name,All,Boon of Creation,GWF
Spells [Name],GWF,Name,All,Boon Signet,GWF
Spells [Name],GWF,Name,All,Brambles,GWF
Spells [Name],GWF,Name,All,Breath of Fire,GWF
Spells [Name],GWF,Name,All,Broad Head Arrow,GWF
Spells [Name],GWF,Name,All,Brutal Weapon,GWF
Spells [Name],GWF,Name,All,Burning Speed,GWF
Spells [Name],GWF,Name,All,Caltrops,GWF
Spells [Name],GWF,Name,All,Channeled Strike,GWF
Spells [Name],GWF,Name,All,Churning Earth,GWF
Spells [Name],GWF,Name,All,Clamor of Souls,GWF
Spells [Name],GWF,Name,All,Complicate,GWF
Spells [Name],GWF,Name,All,Conflagration,GWF
Spells [Name],GWF,Name,All,Conjure Nightmare,GWF
Spells [Name],GWF,Name,All,Consume Soul,GWF
Spells [Name],GWF,Name,All,Crippling Dagger,GWF
Spells [Name],GWF,Name,All,Critical Defenses,GWF
Spells [Name],GWF,Name,All,Critical Eye,GWF
Spells [Name],GWF,Name,All,Critical Strike,GWF
Spells [Name],GWF,Name,All,Cruel Was Daoshen,GWF
Spells [Name],GWF,Name,All,Cultist's Fervor,GWF
Spells [Name],GWF,Name,All,Dancing Daggers,GWF
Spells [Name],GWF,Name,All,Dark Apostasy,GWF
Spells [Name],GWF,Name,All,Dark Escape,GWF
Spells [Name],GWF,Name,All,Dark Prison,GWF
Spells [Name],GWF,Name,All,Dash,GWF
Spells [Name],GWF,Name,All,Death Blossom,GWF
Spells [Name],GWF,Name,All,Death's Charge,GWF
Spells [Name],GWF,Name,All,Defiant Was Xinrae,GWF
Spells [Name],GWF,Name,All,Deny Hexes,GWF
Spells [Name],GWF,Name,All,Desecrate Enchantments/Defile Enchantments,GWF
Spells [Name],GWF,Name,All,Desperate Strike,GWF
Spells [Name],GWF,Name,All,Desperation Blow/Drunken Blow,GWF
Spells [Name],GWF,Name,All,Destruction,GWF
Spells [Name],GWF,Name,All,Discord,GWF
Spells [Name],GWF,Name,All,Disenchantment,GWF
Spells [Name],GWF,Name,All,Displacement,GWF
Spells [Name],GWF,Name,All,Disrupting Stab,GWF
Spells [Name],GWF,Name,All,Dissonance,GWF
Spells [Name],GWF,Name,All,Divine Healing/Heaven's Delight,GWF
Spells [Name],GWF,Name,All,Dodge/Zojun's Haste,GWF
Spells [Name],GWF,Name,All,Doom,GWF
Spells [Name],GWF,Name,All,Double Dragon,GWF
Spells [Name],GWF,Name,All,Dragon Slash,GWF
Spells [Name],GWF,Name,All,Draw Spirit,GWF
Spells [Name],GWF,Name,All,Dulled Weapon,GWF
Spells [Name],GWF,Name,All,Dwayna's Sorrow,GWF
Spells [Name],GWF,Name,All,Earthbind (Guild Wars),GWF
Spells [Name],GWF,Name,All,Earthquake/Dragon's Stomp,GWF
Spells [Name],GWF,Name,All,Elemental Lord,GWF
Spells [Name],GWF,Name,All,Empathic Removal,GWF
Spells [Name],GWF,Name,All,Enduring Toxin,GWF
Spells [Name],GWF,Name,All,Energy Boon,GWF
Spells [Name],GWF,Name,All,Enfeebling Touch,GWF
Spells [Name],GWF,Name,All,Enraged Lunge,GWF
Spells [Name],GWF,Name,All,Enraged Smash,GWF
Spells [Name],GWF,Name,All,Entangling Asp,GWF
Spells [Name],GWF,Name,All,Equinox,GWF
Spells [Name],GWF,Name,All,Essence Strike,GWF
Spells [Name],GWF,Name,All,Ether Nightmare,GWF
Spells [Name],GWF,Name,All,Ether Signet,GWF
Spells [Name],GWF,Name,All,Ethereal Burden/Kitah's Burden,GWF
Spells [Name],GWF,Name,All,Ethereal Light,GWF
Spells [Name],GWF,Name,All,Exhausting Assault,GWF
Spells [Name],GWF,Name,All,Expel Hexes,GWF
Spells [Name],GWF,Name,All,Explosive Growth,GWF
Spells [Name],GWF,Name,All,Expose Defenses,GWF
Spells [Name],GWF,Name,All,Expunge Enchantments,GWF
Spells [Name],GWF,Name,All,Extinguish,GWF
Spells [Name],GWF,Name,All,Falling Spider,GWF
Spells [Name],GWF,Name,All,Famine,GWF
Spells [Name],GWF,Name,All,Feast of Souls,GWF
Spells [Name],GWF,Name,All,Feedback,GWF
Spells [Name],GWF,Name,All,Fetid Ground,GWF
Spells [Name],GWF,Name,All,Fierce Blow,GWF
Spells [Name],GWF,Name,All,Flashing Blades,GWF
Spells [Name],GWF,Name,All,Flesh of My Flesh,GWF
Spells [Name],GWF,Name,All,Focused Shot,GWF
Spells [Name],GWF,Name,All,Forceful Blow,GWF
Spells [Name],GWF,Name,All,Fox Fangs,GWF
Spells [Name],GWF,Name,All,Furious Axe,GWF
Spells [Name],GWF,Name,All,Galrath Slash/Silverwing Slash,GWF
Spells [Name],GWF,Name,All,Gaze from Beyond,GWF
Spells [Name],GWF,Name,All,Gaze of Contempt,GWF
Spells [Name],GWF,Name,All,Generous Was Tsungrai,GWF
Spells [Name],GWF,Name,All,Ghostly Haste,GWF
Spells [Name],GWF,Name,All,Gift of Health,GWF
Spells [Name],GWF,Name,All,Glass Arrows,GWF
Spells [Name],GWF,Name,All,Glyph of Essence,GWF
Spells [Name],GWF,Name,All,Golden Lotus Strike,GWF
Spells [Name],GWF,Name,All,Golden Phoenix Strike,GWF
Spells [Name],GWF,Name,All,Grasping Was Kuurong,GWF
Spells [Name],GWF,Name,All,Griffon's Sweep/Leviathan's Sweep,GWF
Spells [Name],GWF,Name,All,Guided Weapon,GWF
Spells [Name],GWF,Name,All,Gust,GWF
Spells [Name],GWF,Name,All,Heal Area/Karei's Healing Circle,GWF
Spells [Name],GWF,Name,All,Heal as One,GWF
Spells [Name],GWF,Name,All,Heal Other/Jamei's Gaze,GWF
Spells [Name],GWF,Name,All,Healing Burst,GWF
Spells [Name],GWF,Name,All,Healing Light,GWF
Spells [Name],GWF,Name,All,Healing Whisper,GWF
Spells [Name],GWF,Name,All,Heart of Shadow,GWF
Spells [Name],GWF,Name,All,Hex Eater Signet,GWF
Spells [Name],GWF,Name,All,Holy Strike/Stonesoul Strike,GWF
Spells [Name],GWF,Name,All,Horns of the Ox,GWF
Spells [Name],GWF,Name,All,Icy Prism,GWF
Spells [Name],GWF,Name,All,Icy Veins,GWF
Spells [Name],GWF,Name,All,Illusion of Pain,GWF
Spells [Name],GWF,Name,All,Images of Remorse,GWF
Spells [Name],GWF,Name,All,Impale,GWF
Spells [Name],GWF,Name,All,Inspired Enchantment/Revealed Enchantment,GWF
Spells [Name],GWF,Name,All,Inspired Hex/Revealed Hex,GWF
Spells [Name],GWF,Name,All,Iron Palm,GWF
Spells [Name],GWF,Name,All,Jagged Strike,GWF
