table_name,table_source,criterion,group,spell_name,spell_source
Spells [Name],GWP,Name,All,"""Fear Me!""",GWP
Spells [Name],GWP,Name,All,"""I Will Avenge You!""",GWP
Spells [Name],GWP,Name,All,"""I Will Survive!""",GWP
Spells [Name],GWP,Name,All,"""To the Limit!""",GWP
Spells [Name],GWP,Name,All,"""Victory Is Mine!""",GWP
Spells [Name],GWP,Name,All,Amity,GWP
Spells [Name],GWP,Name,All,Animate Bone Horror,GWP
Spells [Name],GWP,Name,All,Arcane Thievery/Arcane Larceny,GWP
Spells [Name],GWP,Name,All,Armor of Frost,GWP
Spells [Name],GWP,Name,All,Armor of Mist,GWP
Spells [Name],GWP,Name,All,Aura of Faith,GWP
Spells [Name],GWP,Name,All,Aura of the Lich,GWP
Spells [Name],GWP,Name,All,Awaken the Blood,GWP
Spells [Name],GWP,Name,All,Axe Twist,GWP
Spells [Name],GWP,Name,All,Backbreaker,GWP
Spells [Name],GWP,Name,All,Balthazar's Spirit,GWP
Spells [Name],GWP,Name,All,Belly Smash,GWP
Spells [Name],GWP,Name,All,Bestial Pounce/Savage Pounce,GWP
Spells [Name],GWP,Name,All,Blackout,GWP
Spells [Name],GWP,Name,All,Blessed Aura,GWP
Spells [Name],GWP,Name,All,Blood Reneawl,GWP
Spells [Name],GWP,Name,All,Blood Ritual,GWP
Spells [Name],GWP,Name,All,Bonetti's Defense,GWP
Spells [Name],GWP,Name,All,Brutal Strike,GWP
Spells [Name],GWP,Name,All,Bull's Charge,GWP
Spells [Name],GWP,Name,All,Call of Protection,GWP
Spells [Name],GWP,Name,All,Chain Lightning (Guild Wars),GWP
Spells [Name],GWP,Name,All,Channeling,GWP
Spells [Name],GWP,Name,All,Chaos Storm,GWP
Spells [Name],GWP,Name,All,Consume Corpse,GWP
Spells [Name],GWP,Name,All,Contemplation of Purity,GWP
Spells [Name],GWP,Name,All,Crippling Shot,GWP
Spells [Name],GWP,Name,All,Crude Swing,GWP
Spells [Name],GWP,Name,All,Crushing Blow,GWP
Spells [Name],GWP,Name,All,Crystal Wave,GWP
Spells [Name],GWP,Name,All,Dark Fury,GWP
Spells [Name],GWP,Name,All,Deadly Riposte,GWP
Spells [Name],GWP,Name,All,Deathly Chill,GWP
Spells [Name],GWP,Name,All,Deflect Arrows,GWP
Spells [Name],GWP,Name,All,Defy Pain,GWP
Spells [Name],GWP,Name,All,Desecrate Enchantments/Defile Enchantments,GWP
Spells [Name],GWP,Name,All,Desperation Blow/Drunken Blow,GWP
Spells [Name],GWP,Name,All,Disciplined Stance,GWP
Spells [Name],GWP,Name,All,Distortion,GWP
Spells [Name],GWP,Name,All,Divine Healing/Heaven's Delight,GWP
Spells [Name],GWP,Name,All,Divine Spirit,GWP
Spells [Name],GWP,Name,All,Dodge/Zojun's Haste,GWP
Spells [Name],GWP,Name,All,Dolyak Signet,GWP
Spells [Name],GWP,Name,All,Dryder's Defenses,GWP
Spells [Name],GWP,Name,All,Dust Trap,GWP
Spells [Name],GWP,Name,All,Dwarven Battle Stance,GWP
Spells [Name],GWP,Name,All,Dwayna's Kiss,GWP
Spells [Name],GWP,Name,All,Earth Shaker,GWP
Spells [Name],GWP,Name,All,Earthquake/Dragon's Stomp,GWP
Spells [Name],GWP,Name,All,Edge of Extinction,GWP
Spells [Name],GWP,Name,All,Elemental Resistance,GWP
Spells [Name],GWP,Name,All,Enfeeble,GWP
Spells [Name],GWP,Name,All,Eruption,GWP
Spells [Name],GWP,Name,All,Essence Bond,GWP
Spells [Name],GWP,Name,All,Ether Lord,GWP
Spells [Name],GWP,Name,All,Ether Prodigy,GWP
Spells [Name],GWP,Name,All,Ether Renewal,GWP
Spells [Name],GWP,Name,All,Ethereal Burden/Kitah's Burden,GWP
Spells [Name],GWP,Name,All,Eviscerate,GWP
Spells [Name],GWP,Name,All,Feast of Corruption,GWP
Spells [Name],GWP,Name,All,Feral Lunge,GWP
Spells [Name],GWP,Name,All,Fertile Season,GWP
Spells [Name],GWP,Name,All,Fevered Dreams,GWP
Spells [Name],GWP,Name,All,Flame Burst,GWP
Spells [Name],GWP,Name,All,Flourish,GWP
Spells [Name],GWP,Name,All,Flurry,GWP
Spells [Name],GWP,Name,All,Frozen Burst,GWP
Spells [Name],GWP,Name,All,Frozen Soil,GWP
Spells [Name],GWP,Name,All,Galrath Slash/Silverwing Slash,GWP
Spells [Name],GWP,Name,All,Gladiator's Defense,GWP
Spells [Name],GWP,Name,All,Glimmering Mark,GWP
Spells [Name],GWP,Name,All,Glyph of Concentration,GWP
Spells [Name],GWP,Name,All,Glyph of Energy,GWP
Spells [Name],GWP,Name,All,Glyph of Renewal,GWP
Spells [Name],GWP,Name,All,Glyph of Sacrifice,GWP
Spells [Name],GWP,Name,All,Grasping Earth,GWP
Spells [Name],GWP,Name,All,Greater Conflagration,GWP
Spells [Name],GWP,Name,All,Griffon's Sweep/Leviathan's Sweep,GWP
Spells [Name],GWP,Name,All,Guilt,GWP
Spells [Name],GWP,Name,All,Heal Area/Karei's Healing Circle,GWP
Spells [Name],GWP,Name,All,Heal Other/Jamei's Gaze,GWP
Spells [Name],GWP,Name,All,Healing Hands,GWP
Spells [Name],GWP,Name,All,Healing Spring,GWP
Spells [Name],GWP,Name,All,Holy Strike/Stonesoul Strike,GWP
Spells [Name],GWP,Name,All,Holy Wrath,GWP
Spells [Name],GWP,Name,All,Ice Prison,GWP
Spells [Name],GWP,Name,All,Ignite Arrows,GWP
Spells [Name],GWP,Name,All,Illusion of Weakness,GWP
Spells [Name],GWP,Name,All,Illusionary Weaponry,GWP
